{'output_directory': 'save_folder', 'grid_size': 4, 'min_other_objects': 4, 'max_objects': 4, 'min_object_size': 1, 'max_object_size': 4, 'other_objects_sample_percentage': 0.3, 'obstacles_flag': False, 'num_obstacles': 5, 'enable_maze': False, 'maze_complexity': 0, 'maze_density': 0, 'type_grammar': 'simple_intrans', 'intransitive_verbs': 'walk', 'transitive_verbs': 'push,pull,pickup,drop', 'nouns': 'circle,square,cylinder,diamond', 'color_adjectives': 'red,blue,yellow,green', 'size_adjectives': '', 'keep_fixed_weights': True, 'all_light': True, 'num_episodes': 300000, 'episode_len': 10, 'grid_input_type': 'vector', 'comm_type': 'continuous', 'comm_setting': 'cheap_talk', 'temp': 1, 'lights_out': False, 'render_episode': False, 'wait_time': 0.3}
Episode: 1 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1379, grad_fn=<SubBackward0>)
Episode: 12 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1382, grad_fn=<SubBackward0>)
Episode: 13 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 1.]) | Train Loss: tensor(0.8145, grad_fn=<SubBackward0>)
Episode: 14 | Train Reward: tensor([0., 0., 0., 1.]) | Train Loss: tensor(1.1102, grad_fn=<SubBackward0>)
Episode: 15 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1382, grad_fn=<SubBackward0>)
Episode: 16 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1382, grad_fn=<SubBackward0>)
Episode: 17 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1382, grad_fn=<SubBackward0>)
Episode: 18 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1382, grad_fn=<SubBackward0>)
Episode: 19 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1382, grad_fn=<SubBackward0>)
Episode: 20 | Train Reward: tensor([0., 0., 1.]) | Train Loss: tensor(1.1744, grad_fn=<SubBackward0>)
Episode: 21 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 1.]) | Train Loss: tensor(0.7918, grad_fn=<SubBackward0>)
Episode: 22 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1382, grad_fn=<SubBackward0>)
Episode: 23 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1381, grad_fn=<SubBackward0>)
Episode: 24 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1381, grad_fn=<SubBackward0>)
Episode: 25 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1381, grad_fn=<SubBackward0>)
Episode: 26 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1381, grad_fn=<SubBackward0>)
Episode: 27 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1381, grad_fn=<SubBackward0>)
Episode: 28 | Train Reward: tensor([0., 0., 0., 0., 1.]) | Train Loss: tensor(1.0753, grad_fn=<SubBackward0>)
Episode: 29 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1382, grad_fn=<SubBackward0>)
Episode: 30 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 1.]) | Train Loss: tensor(0.7929, grad_fn=<SubBackward0>)
Episode: 31 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1380, grad_fn=<SubBackward0>)
Episode: 32 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1381, grad_fn=<SubBackward0>)
Episode: 33 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1382, grad_fn=<SubBackward0>)
Episode: 34 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1381, grad_fn=<SubBackward0>)
Episode: 35 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1381, grad_fn=<SubBackward0>)
Episode: 36 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1380, grad_fn=<SubBackward0>)
Episode: 37 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1381, grad_fn=<SubBackward0>)
Episode: 38 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1380, grad_fn=<SubBackward0>)
Episode: 39 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1381, grad_fn=<SubBackward0>)
Episode: 40 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1380, grad_fn=<SubBackward0>)
Episode: 41 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1379, grad_fn=<SubBackward0>)
Episode: 42 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1380, grad_fn=<SubBackward0>)
Episode: 43 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1380, grad_fn=<SubBackward0>)
Episode: 44 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1380, grad_fn=<SubBackward0>)
Episode: 45 | Train Reward: tensor([0., 1.]) | Train Loss: tensor(1.2213, grad_fn=<SubBackward0>)
Episode: 46 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1381, grad_fn=<SubBackward0>)
Episode: 47 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1380, grad_fn=<SubBackward0>)
Episode: 48 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1379, grad_fn=<SubBackward0>)
Episode: 49 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1380, grad_fn=<SubBackward0>)
Episode: 50 | Train Reward: tensor([0., 0., 1.]) | Train Loss: tensor(1.1448, grad_fn=<SubBackward0>)
Episode: 51 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1380, grad_fn=<SubBackward0>)
Episode: 52 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1380, grad_fn=<SubBackward0>)
Episode: 53 | Train Reward: tensor([0., 0., 0., 0., 0., 1.]) | Train Loss: tensor(0.9596, grad_fn=<SubBackward0>)
Episode: 54 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1378, grad_fn=<SubBackward0>)
Episode: 55 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1378, grad_fn=<SubBackward0>)
Episode: 56 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1378, grad_fn=<SubBackward0>)
Episode: 57 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1378, grad_fn=<SubBackward0>)
Episode: 58 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1376, grad_fn=<SubBackward0>)
Episode: 59 | Train Reward: tensor([1.]) | Train Loss: tensor(1.1688, grad_fn=<SubBackward0>)
Episode: 60 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1377, grad_fn=<SubBackward0>)
Episode: 61 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1377, grad_fn=<SubBackward0>)
Episode: 62 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1376, grad_fn=<SubBackward0>)
Episode: 63 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1376, grad_fn=<SubBackward0>)
Episode: 64 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1376, grad_fn=<SubBackward0>)
Episode: 65 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1372, grad_fn=<SubBackward0>)
Episode: 66 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1374, grad_fn=<SubBackward0>)
Episode: 67 | Train Reward: tensor([0., 1.]) | Train Loss: tensor(1.1731, grad_fn=<SubBackward0>)
Episode: 68 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1375, grad_fn=<SubBackward0>)
Episode: 69 | Train Reward: tensor([0., 1.]) | Train Loss: tensor(1.1695, grad_fn=<SubBackward0>)
Episode: 70 | Train Reward: tensor([0., 1.]) | Train Loss: tensor(1.1638, grad_fn=<SubBackward0>)
Episode: 71 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1369, grad_fn=<SubBackward0>)
Episode: 72 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1365, grad_fn=<SubBackward0>)
Episode: 73 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1368, grad_fn=<SubBackward0>)
Episode: 74 | Train Reward: tensor([0., 0., 1.]) | Train Loss: tensor(1.0922, grad_fn=<SubBackward0>)
Episode: 75 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1363, grad_fn=<SubBackward0>)
Episode: 76 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1365, grad_fn=<SubBackward0>)
Episode: 77 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1358, grad_fn=<SubBackward0>)
Episode: 78 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1364, grad_fn=<SubBackward0>)
Episode: 79 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1360, grad_fn=<SubBackward0>)
Episode: 80 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1356, grad_fn=<SubBackward0>)
Episode: 81 | Train Reward: tensor([0., 0., 1.]) | Train Loss: tensor(1.0022, grad_fn=<SubBackward0>)
Episode: 82 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1357, grad_fn=<SubBackward0>)
Episode: 83 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1349, grad_fn=<SubBackward0>)
Episode: 84 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1352, grad_fn=<SubBackward0>)
Episode: 85 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1351, grad_fn=<SubBackward0>)
Episode: 86 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1347, grad_fn=<SubBackward0>)
Episode: 87 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1346, grad_fn=<SubBackward0>)
Episode: 88 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 1.]) | Train Loss: tensor(0.8847, grad_fn=<SubBackward0>)
Episode: 89 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1348, grad_fn=<SubBackward0>)
Episode: 90 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1351, grad_fn=<SubBackward0>)
Episode: 91 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1349, grad_fn=<SubBackward0>)
Episode: 92 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1344, grad_fn=<SubBackward0>)
Episode: 93 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1355, grad_fn=<SubBackward0>)
Episode: 94 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1350, grad_fn=<SubBackward0>)
Episode: 95 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1348, grad_fn=<SubBackward0>)
Episode: 96 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1350, grad_fn=<SubBackward0>)
Episode: 97 | Train Reward: tensor([0., 0., 1.]) | Train Loss: tensor(1.3737, grad_fn=<SubBackward0>)
Episode: 98 | Train Reward: tensor([0., 0., 1.]) | Train Loss: tensor(1.0582, grad_fn=<SubBackward0>)
Episode: 99 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1347, grad_fn=<SubBackward0>)
Episode: 100 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1346, grad_fn=<SubBackward0>)
Episode: 101 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1355, grad_fn=<SubBackward0>)
Episode: 102 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1346, grad_fn=<SubBackward0>)
Episode: 103 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1345, grad_fn=<SubBackward0>)
Episode: 104 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1349, grad_fn=<SubBackward0>)
Episode: 105 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1354, grad_fn=<SubBackward0>)
Episode: 106 | Train Reward: tensor([0., 0., 0., 0., 0., 1.]) | Train Loss: tensor(0.9422, grad_fn=<SubBackward0>)
Episode: 107 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1347, grad_fn=<SubBackward0>)
Episode: 108 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1354, grad_fn=<SubBackward0>)
Episode: 109 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1352, grad_fn=<SubBackward0>)
Episode: 110 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1349, grad_fn=<SubBackward0>)
Episode: 111 | Train Reward: tensor([0., 0., 0., 0., 1.]) | Train Loss: tensor(0.8722, grad_fn=<SubBackward0>)
Episode: 112 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1344, grad_fn=<SubBackward0>)
Episode: 113 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1346, grad_fn=<SubBackward0>)
Episode: 114 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1348, grad_fn=<SubBackward0>)
Episode: 115 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1352, grad_fn=<SubBackward0>)
Episode: 116 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1348, grad_fn=<SubBackward0>)
Episode: 117 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1348, grad_fn=<SubBackward0>)
Episode: 118 | Train Reward: tensor([0., 1.]) | Train Loss: tensor(1.0993, grad_fn=<SubBackward0>)
Episode: 119 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1336, grad_fn=<SubBackward0>)
Episode: 120 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1351, grad_fn=<SubBackward0>)
Episode: 121 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1340, grad_fn=<SubBackward0>)
Episode: 122 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1342, grad_fn=<SubBackward0>)
Episode: 123 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 1.]) | Train Loss: tensor(0.8273, grad_fn=<SubBackward0>)
Episode: 124 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1336, grad_fn=<SubBackward0>)
Episode: 125 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 1.]) | Train Loss: tensor(0.8839, grad_fn=<SubBackward0>)
Episode: 126 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1336, grad_fn=<SubBackward0>)
Episode: 127 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1328, grad_fn=<SubBackward0>)
Episode: 128 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1340, grad_fn=<SubBackward0>)
Episode: 129 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1344, grad_fn=<SubBackward0>)
Episode: 130 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1332, grad_fn=<SubBackward0>)
Episode: 131 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1338, grad_fn=<SubBackward0>)
Episode: 132 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1338, grad_fn=<SubBackward0>)
Episode: 133 | Train Reward: tensor([1.]) | Train Loss: tensor(1.5873, grad_fn=<SubBackward0>)
Episode: 134 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1339, grad_fn=<SubBackward0>)
Episode: 135 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1344, grad_fn=<SubBackward0>)
Episode: 136 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1347, grad_fn=<SubBackward0>)
Episode: 137 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1335, grad_fn=<SubBackward0>)
Episode: 138 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1349, grad_fn=<SubBackward0>)
Episode: 139 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1348, grad_fn=<SubBackward0>)
Episode: 140 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1350, grad_fn=<SubBackward0>)
Episode: 141 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1343, grad_fn=<SubBackward0>)
Episode: 142 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1346, grad_fn=<SubBackward0>)
Episode: 143 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1354, grad_fn=<SubBackward0>)
Episode: 144 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1350, grad_fn=<SubBackward0>)
Episode: 145 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1351, grad_fn=<SubBackward0>)
Episode: 146 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1352, grad_fn=<SubBackward0>)
Episode: 147 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1357, grad_fn=<SubBackward0>)
Episode: 148 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 1.]) | Train Loss: tensor(0.7505, grad_fn=<SubBackward0>)
Episode: 149 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1352, grad_fn=<SubBackward0>)
Episode: 150 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1358, grad_fn=<SubBackward0>)
Episode: 151 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1358, grad_fn=<SubBackward0>)
Episode: 152 | Train Reward: tensor([0., 0., 0., 0., 0., 1.]) | Train Loss: tensor(0.9313, grad_fn=<SubBackward0>)
Episode: 153 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1352, grad_fn=<SubBackward0>)
Episode: 154 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1354, grad_fn=<SubBackward0>)
Episode: 155 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1353, grad_fn=<SubBackward0>)
Episode: 156 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1349, grad_fn=<SubBackward0>)
Episode: 157 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1354, grad_fn=<SubBackward0>)
Episode: 158 | Train Reward: tensor([0., 0., 1.]) | Train Loss: tensor(1.0125, grad_fn=<SubBackward0>)
Episode: 159 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1353, grad_fn=<SubBackward0>)
Episode: 160 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1348, grad_fn=<SubBackward0>)
Episode: 161 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1351, grad_fn=<SubBackward0>)
Episode: 162 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1351, grad_fn=<SubBackward0>)
Episode: 163 | Train Reward: tensor([0., 0., 0., 0., 0., 1.]) | Train Loss: tensor(0.9920, grad_fn=<SubBackward0>)
Episode: 164 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1347, grad_fn=<SubBackward0>)
Episode: 165 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1346, grad_fn=<SubBackward0>)
Episode: 166 | Train Reward: tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]) | Train Loss: tensor(-0.1350, grad_fn=<SubBackward0>)
